timestamp (ms);packet no.;rssi;satellites;longitude (¡);latitude (¡);altitude (m);temperature (decy ¡C);pressure (Pa);humidity (%)
6071;1;-107;0;21.069479;52.502201;-38;409;101402.08;11
12058;2;-108;0;21.069479;52.502201;-38;410;101398.94;11
18044;3;-107;0;21.069479;52.502201;-38;410;101404.94;11
24030;4;-105;0;21.069479;52.502201;-38;408;101400.28;11
30017;5;-106;0;21.069479;52.502201;-38;407;101403.64;11
36003;6;-106;0;21.069479;52.502201;-38;408;101402.83;11
41990;7;-106;0;21.069479;52.502201;-38;406;101401.6;11
4959;1;-108;0;21.069479;52.502201;-38;405;101398.26;11
5271;1;-105;0;21.069479;52.502201;-38;408;101400.28;11
11259;2;-103;0;21.069479;52.502201;-38;408;101400.89;11
17248;3;-108;0;21.069479;52.502201;-38;408;101395.72;11
23236;4;-107;0;21.069479;52.502201;-38;407;101398.39;11
6056;1;-98;0;0;0;0;378;106917.34;46
12056;2;-83;0;0;0;0;384;107258.51;46
18056;3;-104;0;0;0;0;392;107696.97;46
24056;4;-106;0;0;0;0;397;107931.91;46
30057;5;-112;0;0;0;0;397;107889.86;46
36057;6;-109;0;0;0;0;397;107923.34;46
42058;7;-110;0;0;0;0;394;107790.95;46
48058;8;-110;0;0;0;0;394;107766.05;46
54059;9;-106;0;0;0;0;394;107797.54;46
62867;10;-108;5;21.066151;52.504097;110;394;107763.14;46
65463;11;-109;5;21.066156;52.504105;112;393;107708.47;46
70465;12;-108;6;21.066154;52.504101;112;393;107675.01;46
75466;13;-110;6;21.066154;52.504101;112;391;107598.51;46
80469;14;-108;6;21.066154;52.504101;112;391;107605.03;46
85470;15;-108;6;21.066154;52.504101;112;391;107608.66;46
90472;16;-105;6;21.066154;52.504101;112;391;107615.09;46
95473;17;-105;6;21.066154;52.504101;112;391;107579.89;46
100473;18;-107;6;21.066154;52.504101;112;391;107554.78;46
105477;19;-105;7;21.066154;52.504101;112;391;107600.27;46
110479;20;-109;7;21.066154;52.504101;112;392;107643.74;46
115481;21;-108;7;21.066154;52.504101;112;391;107591.7;46
120483;22;-108;7;21.066154;52.504101;112;391;107560.23;46
125484;23;-109;7;21.066154;52.504101;112;390;107543.75;46
130486;24;-109;7;21.066154;52.504101;112;391;107541.67;46
135486;25;-107;7;21.066154;52.504101;112;389;107481.94;46
140488;26;-109;7;21.066154;52.504101;111;390;107506.8;46
145490;27;-111;7;21.066154;52.504101;111;389;107475.12;46
150491;28;-108;7;21.066154;52.504101;111;389;107470.58;46
155492;29;-111;7;21.066154;52.504101;111;390;107504.84;46
160494;30;-110;7;21.066154;52.504101;111;390;107489.02;46
165496;31;-108;7;21.066154;52.504101;111;390;107525.03;46
170497;32;-107;7;21.066154;52.504101;111;391;107548.1;46
175499;33;-110;7;21.066154;52.504101;111;391;107553.64;46
180501;34;-112;7;21.066154;52.504101;111;392;107589.7;46
185503;35;-104;7;21.066154;52.504101;111;391;107521.02;46
190504;36;-108;7;21.066154;52.504101;111;391;107546.12;46
195505;37;-112;7;21.066154;52.504101;111;391;107522.17;46
200507;38;-112;7;21.066154;52.504101;111;389;107412.01;46
205509;39;-103;7;21.066154;52.504101;111;389;107440.77;46
3485;1;-105;7;21.066153;52.504101;111;390;107445.21;46
8488;2;-105;7;21.066153;52.504101;111;388;107389.78;46
13491;3;-105;7;21.066153;52.504101;111;389;107404.66;46
18493;4;-107;7;21.066153;52.504101;111;388;107374.04;46
23496;5;-109;7;21.066153;52.504101;111;388;107341.77;46
28500;6;-109;7;21.066151;52.504101;111;387;107316.66;46
33503;7;-109;7;21.066151;52.504101;111;387;107325.15;46
38506;8;-104;7;21.066149;52.504101;111;387;107322.25;46
43509;9;-104;7;21.066149;52.504101;111;387;107309.18;46
48511;10;-102;7;21.066149;52.504101;111;387;107281.45;46
53516;11;-108;7;21.066149;52.504101;111;387;107324.16;46
58519;12;-105;7;21.066149;52.504101;111;386;107258.42;46
63521;13;-105;7;21.066149;52.504101;111;385;107176.97;46
68524;14;-107;7;21.066149;52.504101;111;384;107144.8;46
73527;15;-107;7;21.066149;52.504101;111;386;107230.61;46
78530;16;-109;7;21.066147;52.504101;111;387;107272.11;46
83533;17;-107;7;21.066147;52.504101;111;386;107236.03;46
88538;18;-106;7;21.066147;52.504101;111;386;107223.03;46
93540;19;-104;7;21.066147;52.504101;111;385;107165.78;46
98541;20;-91;7;21.066132;52.504108;109;385;107167.72;46
103543;21;-110;7;21.066078;52.504105;109;381;106942.72;46
108548;22;-119;7;21.065981;52.503983;109;375;106579.16;46
113549;23;-118;5;21.065928;52.503899;110;370;106324.14;46
118550;24;-122;3;21.065847;52.503838;110;371;106463.84;46
123552;25;-124;3;21.065746;52.503788;109;369;106352.58;46
128549;26;-124;0;21.065651;52.503738;109;371;106455.58;46
133551;27;-123;0;21.065557;52.503693;109;373;106525.45;46
139553;28;-124;0;21.065557;52.503693;109;374;106605.47;46
145556;29;-123;0;21.065557;52.503693;109;375;106620.05;46
151558;30;-123;0;21.065557;52.503693;109;376;106669.81;46
157561;31;-124;0;21.065557;52.503693;109;376;106669.62;46
163564;32;-123;0;21.065557;52.503693;109;377;106692.53;46
169567;33;-120;0;21.065557;52.503693;109;377;106709.91;46
175570;34;-124;0;21.065557;52.503693;109;378;106738.41;45
181572;35;-122;0;21.065557;52.503693;109;378;106757.89;45
187575;36;-122;0;21.065557;52.503693;109;376;106612.15;46
193578;37;-124;0;21.065557;52.503693;109;376;106659.19;45
199581;38;-124;0;21.065557;52.503693;109;377;106688.38;45
205585;39;-122;0;21.065557;52.503693;109;378;106710.66;45
217591;40;-122;0;21.065557;52.503693;109;379;106790.66;45
223593;41;-123;0;21.065557;52.503693;109;381;106874.56;45
229596;42;-124;0;21.065557;52.503693;109;382;106950.08;45
235598;43;-123;0;21.065557;52.503693;109;384;107027.46;45
241601;44;-124;0;21.065557;52.503693;109;383;106967.34;45
243620;45;-124;3;21.064171;52.502087;108;384;106996.8;45
