gs_timestamp;timestamp;received_packets_qty;rssi;satellites;longitude;latitude;altitude;temperature;pressure;humidity
2019-06-13 14:49:45.752491;721673;135;-57;6;21.065989;52.504124;96;419;100091.78;23
2019-06-13 14:49:50.753997;726682;136;-58;6;21.065952;52.504093;97;415;99993.07;23
2019-06-13 14:49:55.755622;731694;137;-55;6;21.065773;52.504154;99;413;99919.34;24
2019-06-13 14:50:00.758765;736706;138;-73;6;21.065519;52.504265;102;410;99858.35;24
2019-06-13 14:50:05.758411;741714;139;-65;6;21.065254;52.504372;103;408;99818.64;24
2019-06-13 14:50:10.759055;746724;140;-79;6;21.065041;52.504486;105;407;99753.83;24
2019-06-13 14:50:15.759121;751734;141;-79;6;21.064875;52.504642;108;406;99674.80;24
2019-06-13 14:50:20.758439;756742;142;-87;6;21.064655;52.504822;112;403;99605.61;24
2019-06-13 14:50:25.758069;761751;143;-82;6;21.064383;52.504990;115;403;99568.58;24
2019-06-13 14:50:30.759614;766761;144;-92;6;21.064114;52.505154;118;402;99516.90;24
2019-06-13 14:50:35.757251;771768;145;-75;6;21.063847;52.505318;121;401;99461.72;24
2019-06-13 14:50:40.756848;776777;146;-77;6;21.063589;52.505493;125;399;99412.03;25
2019-06-13 14:50:45.758472;781786;147;-72;6;21.063383;52.505688;129;399;99368.41;25
2019-06-13 14:50:50.760129;786798;148;-77;6;21.063189;52.505905;132;399;99331.58;25
2019-06-13 14:50:55.764745;791811;149;-76;6;21.062929;52.506111;136;395;99284.25;25
2019-06-13 14:51:00.758395;796813;150;-75;6;21.062687;52.506298;141;394;99227.11;25
2019-06-13 14:51:05.757991;801821;151;-78;6;21.062475;52.506477;144;395;99187.67;25
2019-06-13 14:51:10.758650;806830;152;-79;6;21.062269;52.506660;148;394;99141.11;25
2019-06-13 14:51:15.758359;811840;153;-91;6;21.062084;52.506844;152;394;99087.31;25
2019-06-13 14:51:20.760981;816851;154;-75;6;21.061907;52.507030;157;394;99029.39;25
2019-06-13 14:51:25.758609;821857;155;-73;6;21.061718;52.507225;161;392;98965.16;25
2019-06-13 14:51:30.760169;826867;156;-86;6;21.061537;52.507423;165;393;98886.80;25
2019-06-13 14:51:35.759760;831875;157;-77;6;21.061356;52.507595;169;391;98804.20;25
2019-06-13 14:51:40.757396;836882;158;-76;6;21.061142;52.507797;174;391;98718.84;25
2019-06-13 14:51:45.758023;841891;159;-72;6;21.060934;52.507992;179;390;98677.54;25
2019-06-13 14:51:50.758651;846901;160;-78;6;21.060755;52.508194;184;389;98620.06;26
2019-06-13 14:51:55.758281;851909;161;-85;6;21.060610;52.508423;189;388;98561.18;26
2019-06-13 14:52:00.758908;856918;162;-77;6;21.060478;52.508648;195;387;98495.22;26
2019-06-13 14:52:05.757541;861926;163;-74;6;21.060322;52.508865;199;387;98445.59;26
2019-06-13 14:52:10.759166;866936;164;-74;6;21.060184;52.509083;204;387;98391.12;26
2019-06-13 14:52:15.759793;871946;165;-92;6;21.060034;52.509331;210;387;98325.09;26
2019-06-13 14:52:20.757429;876955;166;-93;6;21.059843;52.509552;216;385;98256.24;26
2019-06-13 14:52:25.760055;881966;167;-81;6;21.059628;52.509769;221;385;98175.80;26
2019-06-13 14:52:30.760679;886977;168;-86;6;21.059435;52.509979;227;384;98094.03;26
2019-06-13 14:52:35.758313;891986;169;-80;6;21.059284;52.510216;233;384;97974.57;26
2019-06-13 14:52:40.758941;896997;170;-81;6;21.059111;52.510422;240;384;97880.89;26
2019-06-13 14:52:45.756576;902007;171;-80;5;21.058937;52.510643;247;385;97798.68;26
2019-06-13 14:52:50.760621;907022;172;-85;6;21.058750;52.510853;255;384;97699.97;26
2019-06-13 14:52:55.759254;912032;173;-93;6;21.058577;52.511059;265;385;97598.33;26
2019-06-13 14:53:00.759882;917045;174;-81;6;21.058380;52.511284;275;384;97483.30;26
2019-06-13 14:53:05.759512;922056;175;-71;6;21.058189;52.511532;283;382;97390.98;26
2019-06-13 14:53:10.760141;927069;176;-84;6;21.058018;52.511799;292;381;97306.94;26
2019-06-13 14:53:15.760767;932083;177;-77;6;21.057880;52.512070;301;380;97217.70;26
2019-06-13 14:53:20.758402;937093;178;-75;6;21.057676;52.512321;308;380;97139.69;26
2019-06-13 14:53:25.760027;942107;179;-75;6;21.057491;52.512585;315;380;97057.34;26
2019-06-13 14:53:30.760655;947121;180;-77;6;21.057310;52.512875;323;378;96974.94;26
2019-06-13 14:53:35.759287;952133;181;-74;6;21.057127;52.513157;329;376;96877.62;27
